dbn,Mean Score
01M292,58.90384615384616
01M448,66.73714285714286
01M458,54.52307692307692
01M509,61.26666666666665
01M515,76.04193548387096
01M650,66.14500000000001
01M696,83.31333333333335
02M047,59.35151515151516
02M135,66.65555555555555
02M139,58.6
02M280,69.48636363636365
02M282,65.32727272727274
02M288,61.45862068965518
02M294,68.26
02M296,63.1148148148148
02M298,68.47575757575757
02M300,63.490625
02M303,64.46000000000001
02M305,66.12692307692308
02M308,64.46206896551723
02M313,63.91428571428572
02M316,56.95
02M374,63.72121212121211
02M376,80.385
02M392,65.22580645161291
02M393,59.878571428571426
02M394,75.20625
02M399,63.03714285714286
02M400,64.89729729729729
02M411,81.57741935483871
02M412,79.74374999999999
02M414,76.34705882352942
02M416,85.43333333333334
02M418,82.19062500000003
02M419,71.875
02M420,69.50263157894739
02M425,61.50967741935482
02M427,62.176666666666684
02M429,63.65
02M432,66.03571428571428
02M437,59.003703703703685
02M438,59.78888888888889
02M439,80.23529411764706
02M449,72.825
02M459,67.35
02M460,55.300000000000004
02M473,57.77058823529412
02M475,91.56666666666665
02M489,66.34166666666668
02M500,60.96551724137931
02M507,65.65405405405406
02M519,73.97333333333336
02M520,58.34571428571428
02M529,60.154545454545435
02M531,66.19999999999999
02M533,60.60857142857142
02M534,77.36666666666667
02M542,68.47222222222223
02M543,66.2923076923077
02M544,59.17777777777778
02M545,80.48918918918919
02M546,67.77812499999999
02M550,61.000000000000014
02M551,67.546875
02M560,66.15714285714286
02M565,73.08
02M570,68.575
02M575,70.62352941176471
02M580,62.94411764705882
02M586,74.66875
02M600,67.7108108108108
02M605,75.36666666666666
02M615,70.76944444444443
02M625,57.173333333333325
02M630,68.18378378378375
03M283,57.81666666666666
03M299,60.0375
03M307,62.106666666666676
03M402,60.05833333333333
03M403,64.83611111111111
03M404,63.2578947368421
03M417,72.575
03M479,84.875
03M485,81.03888888888889
03M492,60.90303030303031
03M494,59.29310344827584
03M505,59.673684210526325
03M541,81.55172413793105
04M409,55.606666666666676
04M435,76.94444444444446
04M495,67.28181818181817
04M555,74.03333333333333
04M680,59.030555555555566
05M157,56.86923076923077
05M285,59.56999999999999
05M304,58.04642857142857
05M367,50.24285714285715
05M369,61.43103448275862
05M685,55.616666666666674
05M692,87.2689655172414
06M211,68.37647058823529
06M423,61.35238095238097
06M457,58.44375000000001
06M462,54.5375
06M463,54.69655172413793
06M467,57.29444444444445
06M468,58.146875
06M540,65.68108108108108
06M552,60.33142857142857
07X259,60.3913043478261
07X321,62.09166666666667
07X334,63.45714285714287
07X379,59.98235294117647
07X381,63.30588235294118
07X427,64.1
07X456,55.88823529411765
07X473,59.6962962962963
07X495,78.05000000000001
07X520,57.178947368421056
07X522,56.775
07X527,59.503030303030314
07X547,58.224999999999994
07X548,59.621875
07X557,58.79130434782609
07X600,59.36071428571427
07X655,53.537499999999994
07X670,64.18125000000002
08X282,62.454838709677404
08X293,64.29142857142858
08X295,60.839999999999996
08X305,51.426666666666655
08X312,62.15454545454546
08X320,61.552
08X332,58.50909090909091
08X348,61.00384615384615
08X349,61.39615384615384
08X377,59.13181818181818
08X405,61.17777777777779
08X408,55.915
08X432,51.22258064516129
08X452,60.18888888888888
08X507,55.4
08X519,51.973333333333336
08X530,58.06
08X537,63.0
08X558,63.829411764705874
08X559,59.295
08X561,56.97599999999999
08X650,60.86
09X227,60.846875000000004
09X250,60.2657142857143
09X252,62.06666666666667
09X260,71.57999999999998
09X263,61.63750000000001
09X276,53.736
09X297,59.499999999999986
09X329,57.503448275862056
09X365,60.830000000000005
09X403,65.4
09X404,64.89523809523808
09X412,58.035714285714285
