Time (s),Force (N),CO2 Mass (Mco2),Drag (FD),
8.1906,5.100281002,29.85,0.243,
8.1923,5.069885911,29.85,0.243,
8.194,4.978700638,29.85,0.243,
8.1957,4.857120275,29.85,0.243,
8.1974,4.765935002,29.85,0.243,
8.1991,4.70514482,29.85,0.243,
8.2008,4.583564456,29.85,0.243,
8.2025,4.492379183,29.85,0.243,
8.2042,4.431589001,29.85,0.243,
8.2059,4.370798819,29.85,0.243,
8.2076,4.249218456,29.85,0.243,
8.2093,4.188428274,29.85,0.243,
8.211,4.127638092,29.85,0.243,
8.2127,4.06684791,29.85,0.243,
8.2144,3.945267546,29.85,0.243,
8.2161,3.884477364,29.85,0.243,
8.2178,3.823687182,29.85,0.243,
8.2195,3.793292091,29.85,0.243,
8.2212,3.73250191,29.85,0.243,
8.2229,3.702106819,29.85,0.243,
8.2246,3.641316637,29.85,0.243,
8.2263,3.580526455,29.85,0.243,
8.228,3.550131364,29.85,0.243,
8.2297,3.519736273,29.85,0.243,
8.2314,3.458946091,29.85,0.243,
8.2331,3.428551,29.85,0.243,
8.2348,3.398155909,29.85,0.243,
8.2365,3.276575545,29.85,0.243,
8.2382,3.185390273,29.85,0.243,
8.2399,3.124600091,29.85,0.243,
8.2416,3.063809909,29.85,0.243,
8.2433,2.972624636,29.85,0.243,
8.245,2.911834454,29.85,0.243,
8.2467,2.851044272,29.85,0.243,
8.2484,2.759858999,29.85,0.243,
8.2501,2.729463908,29.85,0.243,
8.2518,2.638278636,29.85,0.243,
8.2535,2.577488454,29.85,0.243,
8.2552,2.547093363,29.85,0.243,
8.2569,2.486303181,29.85,0.243,
8.2586,2.425512999,29.85,0.243,
8.2603,2.364722817,29.85,0.243,
8.262,2.334327726,29.85,0.243,
8.2637,2.243142453,29.85,0.243,
8.2654,2.182352271,29.85,0.243,
8.2671,2.15195718,29.85,0.243,
8.2688,2.12156209,29.85,0.243,
8.2705,2.060771908,29.85,0.243,
8.2722,2.030376817,29.85,0.243,
8.2739,2.030376817,29.85,0.243,
8.2756,1.999981726,29.85,0.243,
8.2773,1.969586635,29.85,0.243,
8.279,1.939191544,29.85,0.243,
8.2807,1.908796453,29.85,0.243,
8.2824,1.878401362,29.85,0.243,
8.2841,1.81761118,29.85,0.243,
